time_point,msg,execution_time
0.008603811264038086,start: Load Data,0.0
0.0865170955657959,end: Load Data,0.07791328430175781
0.12559151649475098,start: Load Embedding,0.0
0.20992422103881836,end: Load Embedding,0.08433270454406738
0.21452021598815918,start: Create Training Data,0.0
1.1521832942962646,end: Create Training Data,0.9376630783081055
1.1574554443359375,start: Learn Structure,0.0
1.3265697956085205,end: Learn Structure,0.169114351272583
1.3310365676879883,start: Get Dependencies,0.0
1.4092648029327393,end: Get Dependencies,0.07822823524475098
