dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param,high_dim
yeast,ocsvm,0.1,0.0001,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.386688709,56.68400669,59.0706954,nu_0.1,TRUE
yeast,ocsvm,0,0.0001,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.386688709,56.6893959,59.07608461,nu_0.1,TRUE
yeast,ocsvm,0.01,0.0001,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.386688709,56.6893959,59.07608461,nu_0.1,TRUE
yeast,ocsvm,0.05,0.0001,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.386688709,56.6893959,59.07608461,nu_0.1,TRUE
yeast,ocsvm,0.1,0.0001,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.386688709,56.6893959,59.07608461,nu_0.1,TRUE
yeast,ocsvm,0,0.0001,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.52013063,56.40059328,67.92072392,nu_0.5,TRUE
yeast,ocsvm,0.01,0.0001,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.52013063,56.40059328,67.92072392,nu_0.5,TRUE
yeast,ocsvm,0.05,0.0001,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.52013063,56.40059328,67.92072392,nu_0.5,TRUE
yeast,ocsvm,0.1,0.0001,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.52013063,56.40059328,67.92072392,nu_0.5,TRUE
yeast,ocsvm,0,0.0001,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.52013063,56.53972602,68.05985665,nu_0.5,TRUE
yeast,ocsvm,0.01,0.0001,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.52013063,56.53972602,68.05985665,nu_0.5,TRUE
yeast,ocsvm,0.05,0.0001,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.52013063,56.53972602,68.05985665,nu_0.5,TRUE
yeast,ocsvm,0.1,0.0001,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.52013063,56.53972602,68.05985665,nu_0.5,TRUE
yeast,ocsvm,0,0.0001,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.357772112,57.93964124,60.29741335,nu_0.1,TRUE
yeast,ocsvm,0.01,0.0001,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.357772112,57.93964124,60.29741335,nu_0.1,TRUE
yeast,ocsvm,0.05,0.0001,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.357772112,57.93964124,60.29741335,nu_0.1,TRUE
yeast,ocsvm,0.1,0.0001,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.357772112,57.93964124,60.29741335,nu_0.1,TRUE
yeast,ocsvm,0,0.0001,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.357772112,57.41547942,59.77325153,nu_0.1,TRUE
yeast,ocsvm,0.01,0.0001,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.357772112,57.41547942,59.77325153,nu_0.1,TRUE
yeast,ocsvm,0.05,0.0001,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.357772112,57.41547942,59.77325153,nu_0.1,TRUE
yeast,ocsvm,0.1,0.0001,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.357772112,57.41547942,59.77325153,nu_0.1,TRUE
yeast,ocsvm,0,0.0001,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.7066679,58.23892283,69.94559073,nu_0.5,TRUE
yeast,ocsvm,0.01,0.0001,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.7066679,58.23892283,69.94559073,nu_0.5,TRUE
yeast,ocsvm,0.05,0.0001,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.7066679,58.23892283,69.94559073,nu_0.5,TRUE
yeast,ocsvm,0.1,0.0001,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.7066679,58.23892283,69.94559073,nu_0.5,TRUE
yeast,ocsvm,0,0.0001,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.7066679,57.62809753,69.33476543,nu_0.5,TRUE
yeast,ocsvm,0.01,0.0001,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.7066679,57.62809753,69.33476543,nu_0.5,TRUE
yeast,ocsvm,0.05,0.0001,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.7066679,57.62809753,69.33476543,nu_0.5,TRUE
yeast,ocsvm,0.1,0.0001,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.7066679,57.62809753,69.33476543,nu_0.5,TRUE
yeast,ocsvm,0,0.0001,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356135607,5.871422052,8.227557659,nu_0.1,TRUE
yeast,ocsvm,0.01,0.0001,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356135607,5.871422052,8.227557659,nu_0.1,TRUE
yeast,ocsvm,0.05,0.0001,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356135607,5.871422052,8.227557659,nu_0.1,TRUE
yeast,ocsvm,0.1,0.0001,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356135607,5.871422052,8.227557659,nu_0.1,TRUE
yeast,ocsvm,0,0.0001,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356135607,5.557757378,7.913892984,nu_0.1,TRUE
yeast,ocsvm,0.01,0.0001,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356135607,5.557757378,7.913892984,nu_0.1,TRUE
yeast,ocsvm,0.05,0.0001,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356135607,5.557757378,7.913892984,nu_0.1,TRUE
yeast,ocsvm,0.1,0.0001,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356135607,5.557757378,7.913892984,nu_0.1,TRUE
yeast,ocsvm,0,0.0001,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42179537,5.543679476,16.96547484,nu_0.5,TRUE
yeast,ocsvm,0.01,0.0001,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42179537,5.543679476,16.96547484,nu_0.5,TRUE
yeast,ocsvm,0.05,0.0001,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42179537,5.543679476,16.96547484,nu_0.5,TRUE
yeast,ocsvm,0.1,0.0001,FALSE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42179537,5.543679476,16.96547484,nu_0.5,TRUE
yeast,ocsvm,0,0.0001,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42179537,5.544064045,16.96585941,nu_0.5,TRUE
yeast,ocsvm,0.01,0.0001,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42179537,5.544064045,16.96585941,nu_0.5,TRUE
yeast,ocsvm,0.05,0.0001,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42179537,5.544064045,16.96585941,nu_0.5,TRUE
yeast,ocsvm,0.1,0.0001,FALSE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.42179537,5.544064045,16.96585941,nu_0.5,TRUE
yeast,ocsvm,0,0.01,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.373724937,55.96642423,58.34014916,nu_0.1,TRUE
yeast,ocsvm,0.01,0.01,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.373724937,55.96642423,58.34014916,nu_0.1,TRUE
yeast,ocsvm,0.05,0.01,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.373724937,55.96642423,58.34014916,nu_0.1,TRUE
yeast,ocsvm,0.1,0.01,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.373724937,55.96642423,58.34014916,nu_0.1,TRUE
yeast,ocsvm,0,0.01,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.373724937,56.05888963,58.43261456,nu_0.1,TRUE
yeast,ocsvm,0.01,0.01,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.373724937,56.05888963,58.43261456,nu_0.1,TRUE
yeast,ocsvm,0.05,0.01,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.373724937,56.05888963,58.43261456,nu_0.1,TRUE
yeast,ocsvm,0.1,0.01,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.373724937,56.05888963,58.43261456,nu_0.1,TRUE
yeast,ocsvm,0,0.01,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.39375138,56.00970936,67.40346074,nu_0.5,TRUE
yeast,ocsvm,0.01,0.01,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.39375138,56.00970936,67.40346074,nu_0.5,TRUE
yeast,ocsvm,0.05,0.01,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.39375138,56.00970936,67.40346074,nu_0.5,TRUE
yeast,ocsvm,0.1,0.01,TRUE,3,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.39375138,56.00970936,67.40346074,nu_0.5,TRUE
yeast,ocsvm,0,0.01,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.39375138,56.01893163,67.41268301,nu_0.5,TRUE
yeast,ocsvm,0.01,0.01,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.39375138,56.01893163,67.41268301,nu_0.5,TRUE
yeast,ocsvm,0.05,0.01,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.39375138,56.01893163,67.41268301,nu_0.5,TRUE
yeast,ocsvm,0.1,0.01,TRUE,3,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.39375138,56.01893163,67.41268301,nu_0.5,TRUE
yeast,ocsvm,0,0.01,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356753588,56.03327298,58.39002657,nu_0.1,TRUE
yeast,ocsvm,0.01,0.01,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356753588,56.03327298,58.39002657,nu_0.1,TRUE
yeast,ocsvm,0.05,0.01,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356753588,56.03327298,58.39002657,nu_0.1,TRUE
yeast,ocsvm,0.1,0.01,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356753588,56.03327298,58.39002657,nu_0.1,TRUE
yeast,ocsvm,0,0.01,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356753588,56.07604623,58.43279982,nu_0.1,TRUE
yeast,ocsvm,0.01,0.01,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356753588,56.07604623,58.43279982,nu_0.1,TRUE
yeast,ocsvm,0.05,0.01,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356753588,56.07604623,58.43279982,nu_0.1,TRUE
yeast,ocsvm,0.1,0.01,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.356753588,56.07604623,58.43279982,nu_0.1,TRUE
yeast,ocsvm,0,0.01,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.38414598,56.03156734,67.41571331,nu_0.5,TRUE
yeast,ocsvm,0.01,0.01,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.38414598,56.03156734,67.41571331,nu_0.5,TRUE
yeast,ocsvm,0.05,0.01,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.38414598,56.03156734,67.41571331,nu_0.5,TRUE
yeast,ocsvm,0.1,0.01,TRUE,5,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.38414598,56.03156734,67.41571331,nu_0.5,TRUE
yeast,ocsvm,0,0.01,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.38414598,56.06304431,67.44719028,nu_0.5,TRUE
yeast,ocsvm,0.01,0.01,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.38414598,56.06304431,67.44719028,nu_0.5,TRUE
yeast,ocsvm,0.05,0.01,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.38414598,56.06304431,67.44719028,nu_0.5,TRUE
yeast,ocsvm,0.1,0.01,TRUE,5,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.38414598,56.06304431,67.44719028,nu_0.5,TRUE
yeast,ocsvm,0,0.01,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.34863019,56.07006407,58.41869426,nu_0.1,TRUE
yeast,ocsvm,0.01,0.01,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.34863019,56.07006407,58.41869426,nu_0.1,TRUE
yeast,ocsvm,0.05,0.01,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.34863019,56.07006407,58.41869426,nu_0.1,TRUE
yeast,ocsvm,0.1,0.01,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.34863019,56.07006407,58.41869426,nu_0.1,TRUE
yeast,ocsvm,0,0.01,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.34863019,56.0861578,58.43478799,nu_0.1,TRUE
yeast,ocsvm,0.01,0.01,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.34863019,56.0861578,58.43478799,nu_0.1,TRUE
yeast,ocsvm,0.05,0.01,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.34863019,56.0861578,58.43478799,nu_0.1,TRUE
yeast,ocsvm,0.1,0.01,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,2.34863019,56.0861578,58.43478799,nu_0.1,TRUE
yeast,ocsvm,0,0.01,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.40191627,56.04503608,67.44695234,nu_0.5,TRUE
yeast,ocsvm,0.01,0.01,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.40191627,56.04503608,67.44695234,nu_0.5,TRUE
yeast,ocsvm,0.05,0.01,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.40191627,56.04503608,67.44695234,nu_0.5,TRUE
yeast,ocsvm,0.1,0.01,TRUE,10,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.40191627,56.04503608,67.44695234,nu_0.5,TRUE
yeast,ocsvm,0,0.01,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.40191627,56.09729481,67.49921107,nu_0.5,TRUE
yeast,ocsvm,0.01,0.01,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.40191627,56.09729481,67.49921107,nu_0.5,TRUE
yeast,ocsvm,0.05,0.01,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.40191627,56.09729481,67.49921107,nu_0.5,TRUE
yeast,ocsvm,0.1,0.01,TRUE,10,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5093,11.40191627,56.09729481,67.49921107,nu_0.5,TRUE
