dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,isf,0.05,1.00E-06,TRUE,100,50,0.2844,0.5621,0,0.2996,0.6706,0.4141,0.3046,0.7377,0,4.112547874,1977.710388,1981.822936,nu_0.2
yeast,isf,0.1,1.00E-06,TRUE,100,50,0.2595,0.2682,0,0.2996,0.6706,0.4141,0.2988,0.6824,0,4.112547874,1977.710388,1981.822936,nu_0.2
yeast,isf,0,1.00E-06,TRUE,100,10,0.33,0.9231,0,0.3164,0.8343,0.4588,0.3336,0.9527,0,4.111743927,1887.767619,1891.879363,nu_0.3
yeast,isf,0.01,1.00E-06,TRUE,100,10,0.3231,0.8698,0,0.3164,0.8343,0.4588,0.3303,0.927,0,4.111743927,1887.767619,1891.879363,nu_0.3
yeast,isf,0.05,1.00E-06,TRUE,100,10,0.3136,0.783,0,0.3164,0.8343,0.4588,0.323,0.8856,0,4.111743927,1887.767619,1891.879363,nu_0.3
yeast,isf,0.1,1.00E-06,TRUE,100,10,0.2697,0.4458,0,0.3164,0.8343,0.4588,0.3168,0.8422,0,4.111743927,1887.767619,1891.879363,nu_0.3
yeast,isf,0,1.00E-06,TRUE,100,25,0.3291,0.9211,0,0.3164,0.8343,0.4588,0.3329,0.9507,0,4.111743927,1877.661729,1881.773473,nu_0.3
yeast,isf,0.01,1.00E-06,TRUE,100,25,0.3226,0.8679,0,0.3164,0.8343,0.4588,0.3293,0.9231,0,4.111743927,1877.661729,1881.773473,nu_0.3
yeast,isf,0.05,1.00E-06,TRUE,100,25,0.3147,0.787,0,0.3164,0.8343,0.4588,0.3228,0.8876,0,4.111743927,1877.661729,1881.773473,nu_0.3
yeast,isf,0.1,1.00E-06,TRUE,100,25,0.2699,0.4477,0,0.3164,0.8343,0.4588,0.3168,0.8422,0,4.111743927,1877.661729,1881.773473,nu_0.3
yeast,isf,0,1.00E-06,TRUE,100,50,0.3291,0.9211,0,0.3164,0.8343,0.4588,0.3333,0.9527,0,4.111743927,1936.570527,1940.682271,nu_0.3
yeast,isf,0.01,1.00E-06,TRUE,100,50,0.3231,0.8679,0,0.3164,0.8343,0.4588,0.3298,0.9231,0,4.111743927,1936.570527,1940.682271,nu_0.3
yeast,isf,0.05,1.00E-06,TRUE,100,50,0.3152,0.789,0,0.3164,0.8343,0.4588,0.3235,0.8895,0,4.111743927,1936.570527,1940.682271,nu_0.3
yeast,isf,0.1,1.00E-06,TRUE,100,50,0.2663,0.4418,0,0.3164,0.8343,0.4588,0.3168,0.8422,0,4.111743927,1936.570527,1940.682271,nu_0.3
