time_point,msg,execution_time
0.008693456649780273,start: Load Data,0.0
0.48640942573547363,end: Load Data,0.47771596908569336
0.4915916919708252,start: Load Embedding,0.0
0.5540695190429688,end: Load Embedding,0.062477827072143555
0.5602536201477051,start: Create Training Data,0.0
497.12514448165894,end: Create Training Data,496.56489086151123
497.1909394264221,start: Learn Structure,0.0
498.80587935447693,end: Learn Structure,1.6149399280548096
498.81267189979553,start: Get Dependencies,0.0
499.4582965373993,end: Get Dependencies,0.6456246376037598
