time_point,msg,execution_time
0.010649681091308594,start: Load Data,0.0
0.07114458084106445,end: Load Data,0.06049489974975586
0.11952996253967285,start: Load Embedding,0.0
0.16350078582763672,end: Load Embedding,0.04397082328796387
0.1689457893371582,start: Create Training Data,0.0
1.0024900436401367,end: Create Training Data,0.8335442543029785
1.0069572925567627,start: Learn Structure,0.0
1.1409368515014648,end: Learn Structure,0.13397955894470215
1.146503210067749,start: Get Dependencies,0.0
1.1995007991790771,end: Get Dependencies,0.052997589111328125
