time_point,msg,execution_time
0.02695465087890625,start: Load Data,0.0
0.14735627174377441,end: Load Data,0.12040162086486816
0.19675397872924805,start: Load Embedding,0.0
0.2543318271636963,end: Load Embedding,0.05757784843444824
0.2626307010650635,start: Create Training Data,0.0
2.130824327468872,end: Create Training Data,1.8681936264038086
2.1406121253967285,start: Learn Structure,0.0
2.4778783321380615,end: Learn Structure,0.337266206741333
2.4871678352355957,start: Get Dependencies,0.0
2.5794692039489746,end: Get Dependencies,0.0923013687133789
