time_point,msg,execution_time
0.010994195938110352,start: Load Data,0.0
0.46909308433532715,end: Load Data,0.4580988883972168
0.47449660301208496,start: Load Embedding,0.0
0.5432801246643066,end: Load Embedding,0.06878352165222168
0.5490541458129883,start: Create Training Data,0.0
543.7628378868103,end: Create Training Data,543.2137837409973
543.8192179203033,start: Learn Structure,0.0
545.750429391861,end: Learn Structure,1.9312114715576172
545.7572758197784,start: Get Dependencies,0.0
546.6030750274658,end: Get Dependencies,0.8457992076873779
