time_point,msg,execution_time
0.010826587677001953,start: Load Data,0.0
0.10367774963378906,end: Load Data,0.09285116195678711
0.15487241744995117,start: Load Embedding,0.0
0.2552757263183594,end: Load Embedding,0.1004033088684082
0.26102447509765625,start: Create Training Data,0.0
1.5339395999908447,end: Create Training Data,1.2729151248931885
1.5394351482391357,start: Learn Structure,0.0
1.7772800922393799,end: Learn Structure,0.23784494400024414
1.7832186222076416,start: Get Dependencies,0.0
1.8934876918792725,end: Get Dependencies,0.11026906967163086
