dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,ocsvm,0.01,0.0001,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.592499018,5.833392143,7.425891161,nu_0.1
yeast,ocsvm,0.05,0.0001,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.592499018,5.833392143,7.425891161,nu_0.1
yeast,ocsvm,0.1,0.0001,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.592499018,5.833392143,7.425891161,nu_0.1
yeast,ocsvm,0,0.0001,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.592499018,5.296567202,6.889066219,nu_0.1
yeast,ocsvm,0.01,0.0001,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.592499018,5.296567202,6.889066219,nu_0.1
yeast,ocsvm,0.05,0.0001,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.592499018,5.296567202,6.889066219,nu_0.1
yeast,ocsvm,0.1,0.0001,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.592499018,5.296567202,6.889066219,nu_0.1
yeast,ocsvm,0,0.0001,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.59500432,5.291191816,12.88619614,nu_0.5
yeast,ocsvm,0.01,0.0001,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.59500432,5.291191816,12.88619614,nu_0.5
yeast,ocsvm,0.05,0.0001,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.59500432,5.291191816,12.88619614,nu_0.5
yeast,ocsvm,0.1,0.0001,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.59500432,5.291191816,12.88619614,nu_0.5
yeast,ocsvm,0,0.0001,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.59500432,5.189460993,12.78446531,nu_0.5
