dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,lof,0.1,0.0001,True,50,50,0.0000,0.0000,0.0000,0.2938,0.4398,0.3523,0.2938,0.4398,0.3523,7.3407416343688965,5.474771738052368,12.815513372421265,nu_0.5,
yeast,lof,0,0.0001,True,100,10,0.2544,0.3116,0.2801,0.3401,0.4931,0.4026,0.3106,0.5740,0.4030,7.246285676956177,25.27470374107361,32.520989418029785,nu_0.1,
yeast,lof,0.01,0.0001,True,100,10,0.2544,0.3116,0.2801,0.3401,0.4931,0.4026,0.3106,0.5740,0.4030,7.246285676956177,25.27470374107361,32.520989418029785,nu_0.1,
yeast,lof,0.05,0.0001,True,100,10,0.2529,0.3018,0.2752,0.3401,0.4931,0.4026,0.3096,0.5661,0.4003,7.246285676956177,25.27470374107361,32.520989418029785,nu_0.1,
yeast,lof,0.1,0.0001,True,100,10,0.2977,0.1262,0.1773,0.3401,0.4931,0.4026,0.3287,0.5089,0.3994,7.246285676956177,25.27470374107361,32.520989418029785,nu_0.1,
yeast,lof,0,0.0001,True,100,50,0.2544,0.3116,0.2801,0.3401,0.4931,0.4026,0.3106,0.5740,0.4030,7.246285676956177,19.36051058769226,26.606796264648438,nu_0.1,
yeast,lof,0.01,0.0001,True,100,50,0.2544,0.3116,0.2801,0.3401,0.4931,0.4026,0.3106,0.5740,0.4030,7.246285676956177,19.36051058769226,26.606796264648438,nu_0.1,
yeast,lof,0.05,0.0001,True,100,50,0.2529,0.3018,0.2752,0.3401,0.4931,0.4026,0.3096,0.5661,0.4003,7.246285676956177,19.36051058769226,26.606796264648438,nu_0.1,
yeast,lof,0.1,0.0001,True,100,50,0.2977,0.1262,0.1773,0.3401,0.4931,0.4026,0.3287,0.5089,0.3994,7.246285676956177,19.36051058769226,26.606796264648438,nu_0.1,
yeast,lof,0,0.0001,True,100,10,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.194521427154541,19.620644330978394,26.815165758132935,nu_0.5,
yeast,lof,0.01,0.0001,True,100,10,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.194521427154541,19.620644330978394,26.815165758132935,nu_0.5,
yeast,lof,0.05,0.0001,True,100,10,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.194521427154541,19.620644330978394,26.815165758132935,nu_0.5,
yeast,lof,0.1,0.0001,True,100,10,0.3113,0.7890,0.4464,0.3283,0.7771,0.4616,0.3291,0.9231,0.4852,7.194521427154541,19.620644330978394,26.815165758132935,nu_0.5,
yeast,lof,0,0.0001,True,100,50,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.194521427154541,19.58893322944641,26.783454656600952,nu_0.5,
yeast,lof,0.01,0.0001,True,100,50,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.194521427154541,19.58893322944641,26.783454656600952,nu_0.5,
yeast,lof,0.05,0.0001,True,100,50,0.3340,0.9566,0.4952,0.3283,0.7771,0.4616,0.3379,0.9803,0.5025,7.194521427154541,19.58893322944641,26.783454656600952,nu_0.5,
yeast,lof,0.1,0.0001,True,100,50,0.3113,0.7890,0.4464,0.3283,0.7771,0.4616,0.3291,0.9231,0.4852,7.194521427154541,19.58893322944641,26.783454656600952,nu_0.5,
