time_point,msg,execution_time
0.010442733764648438,start: Load Data,0.0
0.5281617641448975,end: Load Data,0.517719030380249
0.5338931083679199,start: Load Embedding,0.0
0.5681056976318359,end: Load Embedding,0.034212589263916016
0.5757637023925781,start: Create Training Data,0.0
365.4878787994385,end: Create Training Data,364.9121150970459
365.5308167934418,start: Learn Structure,0.0
367.4052939414978,end: Learn Structure,1.8744771480560303
367.4107403755188,start: Get Dependencies,0.0
368.4057514667511,end: Get Dependencies,0.9950110912322998
