time_point,msg,execution_time
0.2425086498260498,start: Load Data,0.0
0.3191525936126709,end: Load Data,0.0766439437866211
0.8462131023406982,start: Load Embedding,0.0
0.8872344493865967,end: Load Embedding,0.04102134704589844
1.1436493396759033,start: Create Training Data,0.0
2.2898736000061035,end: Create Training Data,1.1462242603302002
2.296097993850708,start: Learn Structure,0.0
2.5525684356689453,end: Learn Structure,0.2564704418182373
2.558490037918091,start: Get Dependencies,0.0
2.6360998153686523,end: Get Dependencies,0.07760977745056152
