time_point,msg,execution_time
0.01485753059387207,start: Load Data,0.0
0.1540360450744629,end: Load Data,0.13917851448059082
0.21201395988464355,start: Load Embedding,0.0
0.2674558162689209,end: Load Embedding,0.055441856384277344
0.2752385139465332,start: Create Training Data,0.0
1.4681000709533691,end: Create Training Data,1.192861557006836
1.4742076396942139,start: Learn Structure,0.0
1.645174264907837,end: Learn Structure,0.17096662521362305
1.6510331630706787,start: Get Dependencies,0.0
1.7307977676391602,end: Get Dependencies,0.07976460456848145
