mrs <-> bls	1.9533246091900713
tls <-> mrs	1.733217780802732
mms <-> bls	1.6445198523921956
tms <-> mrs	1.6296373084276103
trs <-> mms	1.573357449574001
tls <-> mms	1.4858125486827463
tms <-> mms	1.328872740248709
mls <-> mms	1.2653282447818097
mms <-> class	1.2211444625490748
mls <-> brs	1.2185346154062269
tms <-> brs	1.184719811751934
mls <-> bms	1.0474850729066996
trs <-> class	1.0303341804277777
trs <-> bms	0.9996776052344485
trs <-> brs	0.9830755308527476
bls <-> brs	0.9452069057077356
bls <-> class	0.900065088691784
tls <-> bms	0.8869085704261429
tms <-> bls	0.879877123093402
tms <-> bms	0.8754577243130539
tls <-> class	0.8673272287464279
bls <-> bms	0.8070270949672946
tls <-> brs	0.7271210301526724
trs <-> mrs	0.7098992838740236
mrs <-> class	0.7033417859759442
bms <-> class	0.6611123233584301
tls <-> bls	0.6419356483799651
bms <-> brs	0.5413192691992889
mls <-> mrs	0.5193201772054474
